"Gender","Age","Education","Journaling1","Journaling3","Counterfactuals.SQ001.","Counterfactuals.SQ004.","Counterfactuals.SQ003.","Counterfactuals.SQ002.","Counterfactuals.SQ016.","Counterfactuals.SQ015.","Counterfactuals.SQ014.","Counterfactuals.SQ013.","Counterfactuals.SQ012.","Counterfactuals.SQ011.","Counterfactuals.SQ010.","Counterfactuals.SQ009.","Counterfactuals.SQ008.","Counterfactuals.SQ007.","Counterfactuals.SQ006.","Counterfactuals.SQ005.","Selbstwirksamkeit.SQ001.","Selbstwirksamkeit.SQ002.","Selbstwirksamkeit.SQ003.","Selbstwirksamkeit.SQ004.","Selbstwirksamkeit.SQ005.","Selbstwirksamkeit.SQ006.","Selbstwirksamkeit.SQ007.","Selbstwirksamkeit.SQ008.","Selbstwirksamkeit.SQ009.","Selbstwirksamkeit.SQ010.","Journaling","Counterfactuals","SelfEfficacy"
"f",26,"University",1,1,2,3,5,5,1,2,4,5,1,2,4,4,2,1,5,2,2,3,2,1,1,2,1,1,1,2,2,48,16
"m",39,"University",3,3,2,1,4,3,4,1,4,3,4,1,3,1,4,1,2,3,3,3,3,3,3,3,3,4,3,4,6,41,32
"f",36,"Hauptschule",3,2,3,5,3,2,3,5,3,3,3,4,2,2,2,4,3,3,1,4,3,4,1,1,3,3,1,4,5,50,25
"f",22,"Alevels",1,2,3,4,3,2,3,3,2,3,4,3,2,3,3,2,2,2,3,3,3,3,3,3,4,2,3,3,3,44,30
"f",27,"University",2,2,4,5,5,5,5,3,5,5,5,5,1,3,5,4,4,4,4,4,3,3,3,4,4,4,4,3,4,68,36
"m",23,"Alevels",1,1,2,4,4,3,4,4,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,2,53,30
"f",60,"Hauptschule",2,3,2,2,3,3,3,1,3,3,2,3,3,3,2,3,4,3,2,3,2,2,2,2,1,2,1,2,5,43,19
"f",31,"Alevels",1,1,4,4,4,2,4,5,4,3,3,4,4,2,4,2,4,2,3,2,2,3,3,2,3,3,2,3,2,55,26
"f",23,"Alevels",2,3,4,5,3,5,2,4,3,5,2,5,3,5,2,3,4,1,2,3,1,1,2,2,3,1,2,1,5,56,18
"m",22,"Alevels",1,1,3,4,4,2,3,4,4,3,3,4,4,3,4,4,3,3,3,3,2,2,3,2,3,3,2,2,2,55,25
"m",44,"Alevels",2,2,3,4,5,4,3,4,3,4,3,4,2,3,3,3,4,4,2,3,3,2,3,2,3,3,2,3,4,56,26
"f",23,"Alevels",2,3,2,4,4,3,2,4,3,4,2,4,1,5,2,1,3,2,3,3,3,2,3,2,3,3,2,3,5,46,27
"f",22,"University",2,2,2,4,4,4,2,2,1,2,2,2,2,3,2,3,4,4,3,3,3,2,3,2,2,3,3,3,4,43,27
"f",36,"University",2,2,4,2,3,2,4,2,3,2,4,3,1,2,2,3,2,2,2,3,3,2,2,2,2,1,3,3,4,41,23
"f",62,"Realschule",3,1,4,4,5,3,2,4,3,2,4,4,3,1,4,4,3,3,3,3,3,2,2,2,4,3,3,3,4,53,28
"f",29,"Alevels",1,1,4,2,4,3,4,3,2,3,4,3,4,5,4,3,3,4,3,3,2,2,2,2,3,3,3,3,2,55,26
"f",25,"University",2,2,3,2,4,4,4,2,3,2,4,4,4,3,4,3,3,2,3,2,3,2,3,2,3,3,3,3,4,51,27
"m",21,"Realschule",2,3,2,2,3,3,2,2,3,4,1,3,3,3,2,2,2,5,4,3,4,3,3,3,3,3,3,3,5,42,32
"f",22,"Alevels",4,4,2,2,5,3,3,1,5,5,2,1,2,2,4,2,1,5,2,3,3,1,1,1,2,3,1,3,8,45,20
"f",23,"University",3,3,3,3,3,3,3,1,2,2,3,2,2,2,3,3,3,4,3,3,2,2,2,3,3,3,3,3,6,42,27
"m",20,"Alevels",1,1,2,3,4,1,4,3,1,3,4,4,2,2,5,3,4,4,4,3,2,3,3,3,3,3,3,3,2,49,30
"f",37,"University",3,3,4,5,4,5,2,5,4,4,2,5,2,4,3,4,4,5,3,3,2,3,2,1,1,1,2,2,6,62,20
"f",21,"Alevels",3,4,4,4,3,2,5,5,4,3,5,5,4,2,5,4,3,2,3,3,3,2,2,3,3,3,3,4,7,60,29
"m",41,"University",2,2,2,4,5,3,4,4,3,3,2,3,2,1,3,4,3,3,4,3,3,3,3,3,3,3,3,3,4,49,31
"f",28,"University",1,1,2,5,4,4,1,5,1,3,1,2,1,2,3,3,3,1,3,3,2,2,3,1,3,2,2,2,2,41,23
"f",20,"Alevels",1,2,4,3,4,2,2,3,2,2,2,3,4,2,2,4,3,2,3,2,1,1,2,3,3,1,2,3,3,44,21
"f",23,"Alevels",1,1,4,3,2,2,3,3,4,3,2,2,1,2,2,2,1,2,2,2,1,1,1,1,2,2,2,2,2,38,16
"f",23,"Alevels",3,4,4,3,5,3,3,2,4,4,2,3,2,3,4,3,3,4,3,3,2,1,2,1,3,3,2,3,7,52,23
"f",24,"University",4,4,3,1,3,5,2,1,2,4,3,1,1,5,3,1,3,5,4,3,3,3,2,1,3,3,3,3,8,43,28
"f",21,"Alevels",5,5,3,4,4,3,4,4,2,4,4,4,3,4,4,4,1,3,4,4,2,1,2,2,3,4,2,3,10,55,27
"m",19,"Alevels",1,1,2,3,4,3,2,4,1,3,2,2,1,2,2,1,3,2,3,3,3,2,3,3,3,2,2,3,2,37,27
"m",21,"Realschule",4,1,3,5,5,4,2,4,3,3,2,4,3,3,2,4,3,3,3,3,3,3,4,3,3,3,3,4,5,53,32
"m",21,"Alevels",1,1,2,1,2,5,2,1,2,5,2,2,2,4,3,4,4,4,2,2,2,1,2,2,2,2,2,3,2,45,20
"f",20,"Alevels",2,2,2,2,5,5,1,2,5,5,1,2,4,3,2,2,3,5,3,3,3,3,3,2,2,2,3,3,4,49,27
"f",22,"University",5,5,1,4,5,1,1,4,3,5,1,4,2,3,1,1,1,5,4,3,2,1,3,2,3,3,1,2,10,42,24
"f",22,"University",1,1,2,2,5,5,2,3,5,5,2,2,4,5,2,4,5,5,2,3,2,1,2,2,1,2,2,3,2,58,20
"f",23,"Alevels",3,3,2,4,3,3,3,3,3,2,3,3,2,2,3,3,2,2,3,4,3,3,3,3,4,3,3,4,6,43,33
"f",20,"Alevels",5,5,4,1,2,1,4,2,1,1,3,2,2,1,4,3,2,3,3,4,4,3,3,3,4,4,3,3,10,36,34
"f",22,"Alevels",5,5,2,4,5,5,4,2,4,4,3,4,3,4,4,3,4,4,3,4,3,3,3,3,3,3,3,3,10,59,31
"m",24,"Alevels",3,3,2,1,2,1,2,1,3,2,3,1,2,3,3,1,2,3,2,3,3,3,3,3,4,4,3,3,6,32,31
"f",29,"University",1,1,2,2,4,1,4,3,3,3,4,3,2,1,3,3,4,5,3,3,3,2,3,2,3,3,3,3,2,47,28
"f",25,"University",1,2,2,2,5,4,2,3,4,4,3,3,2,2,2,3,2,5,3,3,3,3,3,2,2,2,3,3,3,48,27
"f",23,"Alevels",1,2,3,2,3,4,3,2,3,4,3,3,3,4,3,3,3,4,3,3,4,2,2,3,3,3,3,3,3,50,29
"f",19,"Alevels",2,5,1,1,1,3,4,1,5,3,4,1,1,4,4,1,4,5,4,4,4,3,3,3,3,3,3,3,7,43,33
"f",23,"Alevels",1,1,4,4,4,4,3,2,3,3,3,4,3,3,3,2,3,4,3,3,2,2,2,2,2,3,2,3,2,52,24
"f",43,"Alevels",3,3,3,4,5,3,2,3,2,3,2,4,2,1,4,4,4,4,4,3,3,3,4,3,4,3,3,3,6,50,33
"f",32,"University",2,2,2,2,3,2,3,3,2,2,4,2,3,3,4,2,2,2,2,3,2,2,3,1,3,2,2,3,4,41,23
"m",42,"University",2,3,2,3,3,3,1,5,4,4,1,4,4,4,1,2,4,1,3,4,2,2,3,3,2,3,3,3,5,46,28
"f",35,"University",1,1,4,4,3,3,2,2,3,3,3,4,2,3,4,2,3,3,3,3,2,3,3,3,3,3,3,3,2,48,29
"m",30,"University",1,1,2,3,4,1,2,3,5,4,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,3,3,3,2,40,28
"f",21,"Alevels",2,2,2,3,3,5,2,3,5,4,2,3,3,3,2,2,3,2,1,1,1,1,1,1,1,1,1,1,4,47,10
"m",37,"University",4,5,2,5,3,4,2,5,1,3,2,4,3,2,4,4,4,1,3,3,3,2,3,3,4,4,4,4,9,49,33
"f",29,"University",3,4,1,2,2,1,1,2,1,1,1,3,1,1,3,1,1,1,3,3,3,3,3,3,3,2,2,2,7,23,27
"f",19,"Alevels",2,2,5,3,5,5,2,3,5,4,2,2,3,5,3,3,3,4,2,2,2,1,2,2,2,2,2,2,4,57,19
"f",20,"Alevels",1,2,2,2,4,3,2,2,3,4,2,2,3,2,2,1,2,3,2,3,2,1,2,1,2,2,2,3,3,39,20
"f",18,"Alevels",1,1,3,2,4,3,4,2,4,4,4,2,2,3,3,3,2,3,3,3,2,2,2,2,2,2,2,3,2,48,23
"f",23,"Alevels",2,2,2,3,3,2,2,2,1,2,2,2,3,2,2,1,4,4,3,3,2,2,3,3,4,2,2,3,4,37,27
"f",NA,"Alevels",4,4,2,3,2,2,4,2,1,1,4,3,2,1,5,1,1,1,4,4,4,3,3,3,4,3,4,3,8,35,35
"f",36,"University",5,5,3,4,2,3,4,4,3,4,4,3,2,2,4,3,3,3,3,3,2,2,3,3,4,3,2,3,10,51,28
"m",61,"Realschule",2,NA,2,4,4,2,3,2,4,3,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,3,2,2,NA,40,26
"f",22,"Alevels",1,1,2,4,4,3,2,4,3,3,2,5,3,3,4,4,2,2,4,3,3,2,3,1,3,3,2,3,2,50,27
"f",41,"Realschule",1,1,2,3,3,3,2,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,2,3,3,3,3,2,41,29
"f",26,"University",2,2,2,5,5,5,2,5,5,5,2,5,1,5,5,5,5,1,3,3,3,2,2,2,4,3,2,2,4,63,26
"m",28,"University",1,2,1,3,2,2,1,3,2,3,1,3,1,2,2,2,2,3,3,3,2,2,2,3,3,2,2,2,3,33,24
"f",23,"Alevels",1,1,4,2,4,4,3,2,3,3,3,3,3,4,3,3,3,3,3,3,2,3,2,2,3,2,3,3,2,50,26
"f",23,"Alevels",3,2,4,3,3,2,3,3,4,2,3,3,2,3,2,3,2,3,2,3,3,1,2,2,3,3,2,3,5,45,24
"m",21,"Alevels",1,1,3,4,5,4,3,3,5,4,3,3,3,5,3,2,5,5,3,3,2,2,3,2,3,3,2,3,2,60,26
"m",24,"University",1,1,2,1,4,3,2,1,3,2,1,2,1,2,2,1,1,3,3,3,2,3,3,2,3,2,3,3,2,31,27
"f",22,"Alevels",2,2,3,4,3,1,2,2,2,1,2,2,1,1,3,2,2,2,3,3,4,3,3,3,4,4,3,3,4,33,33
"f",22,"Alevels",2,2,4,3,4,3,4,4,1,4,4,4,1,1,4,3,4,3,3,4,3,3,4,3,3,4,3,3,4,51,33
"m",24,"Alevels",1,1,3,3,3,3,5,4,2,4,4,2,2,2,4,1,4,4,2,3,2,3,3,3,4,3,3,3,2,50,29
"f",19,"Alevels",3,3,1,1,5,4,1,1,4,4,1,2,4,5,1,1,1,3,3,3,2,2,2,2,3,3,2,3,6,39,25
"m",61,"Alevels",5,4,3,2,4,2,4,2,3,3,4,3,1,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,9,43,30
"f",28,"Alevels",2,2,4,3,4,3,3,2,3,3,3,2,2,2,4,3,2,3,3,3,3,2,2,2,3,3,2,3,4,46,26
"m",28,"Alevels",1,1,5,3,5,4,4,4,3,4,3,4,3,4,4,3,3,3,3,3,2,2,2,2,3,3,3,3,2,59,26
"f",21,"Alevels",4,5,1,4,2,5,3,4,1,5,3,5,3,4,2,2,3,4,3,2,3,4,3,4,2,3,2,4,9,51,30
"f",22,"Alevels",1,2,1,1,4,2,1,1,3,3,1,1,1,2,1,2,3,2,3,3,1,2,3,3,3,3,2,2,3,29,25
"m",24,"Alevels",3,3,4,2,3,3,4,3,1,3,5,1,2,2,5,1,3,3,3,4,3,3,4,3,4,4,3,3,6,45,34
"f",25,"University",4,5,3,1,2,1,3,1,1,2,3,2,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,9,34,30
"f",NA,"Alevels",3,2,2,3,5,5,2,3,5,5,2,3,2,5,2,2,5,5,2,2,1,1,1,1,2,2,1,2,5,56,15
"f",23,"University",4,4,3,2,4,4,4,2,3,2,4,2,2,4,4,2,2,3,3,3,3,3,3,3,3,3,3,3,8,47,30
"m",50,"University",3,3,2,4,3,3,3,4,3,3,3,3,2,2,4,3,3,3,4,4,4,4,4,4,4,3,4,4,6,48,39
"m",25,"University",1,1,1,1,5,3,1,3,2,3,1,1,2,3,2,3,5,3,4,4,3,1,2,1,2,3,2,3,2,39,25
"f",20,"Alevels",1,2,1,4,5,5,2,1,4,5,2,4,2,5,2,2,5,5,1,2,1,3,3,1,1,2,2,1,3,54,17
"f",20,"Alevels",5,5,4,1,2,2,1,1,2,3,1,1,1,5,1,4,2,2,3,3,2,2,3,2,3,3,3,3,10,33,27
"f",21,"Alevels",3,3,3,2,4,3,2,2,4,4,2,2,4,4,3,3,4,3,3,2,2,2,2,2,3,3,3,3,6,49,25
"m",32,"University",1,1,4,4,4,2,2,3,4,4,2,5,2,4,2,4,4,4,3,4,3,2,3,4,3,4,3,3,2,54,32
"f",21,"Alevels",5,4,4,5,2,3,2,5,3,4,3,4,2,4,3,3,1,2,2,3,3,2,3,3,3,3,3,3,9,50,28
"f",53,"Realschule",3,2,3,1,3,2,2,1,1,2,2,1,1,1,2,1,2,2,4,3,3,3,3,3,3,3,3,3,5,27,31
"f",21,"Alevels",4,4,4,3,4,2,4,3,1,1,5,2,1,1,4,1,1,2,3,4,3,3,3,3,4,4,3,4,8,39,34
"f",23,"University",1,2,2,4,1,3,4,4,2,3,3,4,1,3,5,2,2,2,4,4,4,3,3,4,4,4,4,3,3,45,37
"f",47,"University",5,5,3,4,3,4,2,5,4,4,3,4,2,3,3,2,4,3,3,3,3,3,2,2,3,3,3,2,10,53,27
"m",30,"University",1,1,2,3,2,2,2,4,4,2,2,4,1,2,4,3,2,4,4,3,2,4,4,3,3,3,4,4,2,43,34
"m",23,"Alevels",4,3,4,1,2,2,4,2,2,2,4,2,2,3,4,2,3,4,3,3,3,2,2,2,3,3,2,3,7,43,26
"f",20,"Alevels",4,5,3,2,4,4,3,2,5,4,3,2,4,2,4,4,5,4,2,3,2,2,3,2,3,2,2,3,9,55,24
"f",26,"University",5,5,2,4,5,3,3,4,3,3,2,3,3,4,3,3,4,3,3,4,2,2,3,3,3,3,3,3,10,52,29
"f",56,"University",5,5,4,3,3,2,3,3,2,4,2,4,2,2,4,3,3,4,3,3,3,3,3,3,3,3,3,3,10,48,30
"d",24,"University",1,2,2,3,4,2,3,2,1,3,3,2,1,1,3,2,1,2,3,3,3,2,2,1,3,2,1,2,3,35,22
"m",22,"Alevels",1,1,3,1,4,3,2,1,3,3,2,1,1,2,3,1,4,1,2,3,3,2,2,3,3,3,2,3,2,35,26
"m",22,"Alevels",2,2,3,2,4,2,1,2,5,4,3,2,4,4,2,2,4,4,3,4,3,2,2,3,3,3,2,3,4,48,28
"f",22,"Alevels",4,4,3,2,4,4,4,3,3,3,3,4,2,3,4,3,4,4,3,4,3,3,3,3,4,3,3,3,8,53,32
"f",25,"University",1,2,5,1,4,2,2,1,1,4,1,1,1,3,2,1,1,2,3,3,2,1,1,1,3,2,2,2,3,32,20
"m",19,"Realschule",4,4,4,3,3,3,4,2,4,2,2,2,2,1,4,2,2,3,4,3,3,3,4,4,4,4,4,3,8,43,36
"f",21,"Alevels",3,3,4,1,4,3,5,5,4,3,3,5,1,2,5,1,1,1,3,4,4,2,2,3,3,4,2,3,6,48,30
"m",22,"University",4,3,4,5,5,4,2,4,5,5,3,4,2,4,5,2,5,5,3,4,3,1,2,3,4,4,3,4,7,64,31
"f",32,"University",2,1,2,1,2,3,3,3,2,2,3,1,1,2,3,1,1,1,3,4,3,3,3,3,3,3,2,3,3,31,30
"f",56,"University",5,5,4,5,4,4,2,5,2,3,1,4,2,4,2,4,3,4,3,3,3,3,2,1,2,2,1,3,10,53,23
"f",19,"Alevels",4,4,2,1,5,3,2,1,3,4,1,1,2,4,2,1,4,4,3,2,3,1,2,1,3,2,2,2,8,40,21
"f",27,"Alevels",3,2,2,2,2,4,2,2,3,3,2,2,1,2,2,4,1,2,3,2,3,3,3,2,3,3,3,2,5,36,27
"m",23,"University",1,2,2,4,4,4,2,4,1,5,1,3,2,2,2,5,2,1,3,4,3,2,3,3,4,3,2,3,3,44,30
"f",19,"Alevels",2,2,2,4,4,3,3,4,2,3,3,3,2,2,3,3,3,3,3,3,2,2,3,3,4,2,2,3,4,47,27
"m",20,"Alevels",2,3,2,3,4,2,2,2,4,2,2,2,2,1,3,3,2,3,3,3,3,2,3,4,3,3,3,3,5,39,30
"f",57,"Alevels",1,1,3,5,3,2,3,5,3,2,2,5,2,1,4,3,1,4,3,3,3,3,4,3,4,3,4,4,2,48,34
"m",23,"University",3,3,2,2,3,3,5,2,3,3,5,2,1,3,5,2,2,3,4,4,3,4,4,4,4,4,3,3,6,46,37
"f",25,"University",3,2,2,5,2,3,2,5,3,2,2,4,2,1,3,3,1,2,3,3,1,3,3,3,3,4,2,3,5,42,28
"f",19,"Alevels",5,5,3,5,2,4,1,5,1,3,3,5,1,1,4,1,1,1,4,3,3,1,2,3,4,2,2,3,10,41,27
"f",24,"University",2,2,1,1,3,3,2,1,2,2,1,1,1,2,2,1,1,1,3,3,3,2,3,1,1,2,2,3,4,25,23
"m",63,"Hauptschule",4,4,3,3,2,1,1,3,2,2,3,2,1,3,3,2,2,2,4,3,4,3,4,4,4,3,4,3,8,35,36
"f",19,"Alevels",4,5,1,1,3,5,1,1,1,5,1,4,1,4,3,1,3,5,3,3,4,2,2,2,3,3,2,3,9,40,27
"f",24,"Alevels",3,3,3,4,3,3,2,4,5,3,4,4,2,3,2,3,4,2,3,3,2,2,2,3,2,3,2,2,6,51,24
"f",23,"Hauptschule",3,4,5,3,1,5,2,4,4,4,2,4,2,4,2,4,2,5,2,3,1,2,2,2,2,3,3,3,7,53,23
"m",23,"University",2,2,2,1,1,1,3,1,1,1,1,1,1,1,4,1,1,1,4,3,3,3,4,4,4,1,4,3,4,22,33
"f",20,"Alevels",2,3,3,1,4,4,3,1,2,3,2,1,2,5,3,2,4,5,3,3,3,1,2,1,3,1,3,3,5,45,23
"f",24,"University",1,2,2,5,3,3,1,5,3,3,1,5,2,3,2,3,2,1,3,3,3,2,3,2,3,3,2,3,3,44,27
"f",44,"University",4,4,2,3,2,2,4,2,2,2,3,2,1,1,3,2,2,2,4,4,4,3,3,3,4,4,3,3,8,35,35
NA,35,"University",5,5,2,1,2,1,2,1,1,2,2,2,1,1,2,2,2,2,2,4,3,1,3,4,4,4,3,4,10,26,32
"m",38,"Hauptschule",5,5,1,1,3,1,2,1,2,1,1,2,1,1,3,1,2,1,4,4,4,3,4,4,4,4,4,4,10,24,39
"f",23,"Alevels",1,2,4,2,3,3,4,3,4,3,3,3,2,1,4,3,3,3,3,3,3,2,3,4,4,4,3,3,3,48,32
"f",21,"University",1,1,2,3,5,5,2,3,5,3,2,3,3,5,2,2,5,5,3,3,3,1,1,2,2,2,2,3,2,55,22
"f",24,"University",3,3,2,3,4,2,4,3,3,3,3,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,6,44,30
"m",32,"University",2,1,3,2,4,3,2,2,4,4,1,2,3,3,2,1,2,4,2,3,3,2,3,3,3,3,3,3,3,42,28
"f",23,"Alevels",2,2,5,3,4,4,5,3,4,5,5,4,1,3,5,2,2,4,3,4,3,4,4,4,4,4,4,3,4,59,37
"m",22,"Alevels",1,2,2,2,4,2,2,2,1,4,3,2,2,1,3,2,4,4,4,3,3,2,2,2,3,1,3,3,3,40,26
"f",23,"Alevels",3,4,2,1,3,3,3,2,2,2,3,3,1,4,3,1,2,3,3,3,3,3,3,2,2,3,2,2,7,38,26
